"Candidato", "Número", "Partido", "Porcentagem", "Votos"
"Marquinhos Trad", "12.345", "PDT", "1,95 %", "8.567"
"Rafael Tavares", "22.022", "PL", "1,85 %", "8.128"
"Carlão Comunitário Mesmo", "40.122", "PSB", "1,57 %", "6.912"
"Silvio Pitu", "45.800", "PSDB", "1,46 %", "6.409"
"Veterinário Francisco", "44.777", "UNIÃO", "1,45 %", "6.371"
"Fabio Rocha", "44.000", "UNIÃO", "1,44 %", "6.314"
"Professor Riverton", "11.111", "PP", "1,43 %", "6.271"
"Junior Coringa", "15.123", "MDB", "1,39 %", "6.131"
"Dr Victor Rocha", "45.033", "PSDB", "1,22 %", "5.355"
"Professor Juari", "45.999", "PSDB", "1,15 %", "5.050"
"Flavio Cabo Almi", "45.699", "PSDB", "1,14 %", "5.003"
"Luiza Ribeiro", "13.700", "PT", "1,13 %", "4.982"
"André Salineiro Agente Federal", "22.067", "PL", "1,09 %", "4.782"
"Papy", "45.678", "PSDB", "1,06 %", "4.641"
"Ana Portela", "22.222", "PL", "1,04 %", "4.577"
"Neto Santos", "10.123", "REP", "1,04 %", "4.576"
"Maicon Nogueira", "11.511", "PP", "0,96 %", "4.236"
"Delei Pinheiro", "11.655", "PP", "0,95 %", "4.179"
"WIlson Lands", "70.700", "AVANTE", "0,94 %", "4.148"
"Herculano Borges", "10.088", "REP", "0,94 %", "4.119"
"Beto Avelar", "11.222", "PP", "0,92 %", "4.063"
"Dr Jamal", "15.678", "MDB", "0,92 %", "4.030"
"Landmark", "13.123", "PT", "0,91 %", "4.022"
"Dr Sandro", "11.011", "PP", "0,89 %", "3.922"
"Betinho", "10.777", "REP", "0,88 %", "3.877"
"Clodoilson Pires", "20.020", "PODE", "0,88 %", "3.859"
"Jean Ferreira", "13.000", "PT", "0,86 %", "3.768"
"Professor João Rocha", "11.123", "PP", "0,84 %", "3.693"
